much,mʌtʃ,46,"n. 大量, 许多, 重要的事\na. 很多的, 重要的\nadv. 多, 甚, 几乎"
good,gud,46,"n. 善行, 好处, 利益\na. 好的, 优良的, 上等的, 愉快的, 有益的, 好心的, 慈善的, 虔诚的"
out,aut,46,"a. 外面的, 熄灭的, 结束的\nadv. 在外, 熄灭, 出现\nprep. 出自, 离去, 向"
can,kæn,46,"vt. 装罐\nn. 罐头, 容器\naux. 能, 可以\n[计] 作废字符"
without,wi'ðaut,45,"prep. 没有, 不, 在...之外\nadv. 在外面, 户外\nn. 外面, 外部"
own,әun,44,"n. 自己的\na. 自己的, 嫡亲的, 同胞的\nvt. 拥有, 支配, 自认, 承认, 顺从于\nvi. 承认, 供认"
how,hau,43,"adv. 如何, 怎样, 多少, 多么\nn. 方式"
other,'ʌðә,40,"a. 其他的, 另外的, 从前的\npron. 其他的, 他人, 另外一个"
new,nju:,39,"a. 新的, 陌生的, 最近的, 不熟悉的\n[法] 新发现的, 新的, 重新开始的"
been,bi:n,39,be的过去分词
made,meid,38,"a. 人工制成的, 成功的, 创造的\nmake的过去式和过去分词"
though,ðәu,38,"adv. 然而, 可是\nconj. 虽然, 纵然"
even,'i:vәn,38,"a. 平坦的, 相等的, 连贯的, 均等的, 公平的, 偶数的, 平均的, 平衡的, 恰好的\nvt. 使平坦, 使相等\nvi. 变平, 成为相等\nadv. 甚至, 实际上, 完全, 十分\nn. 偶数, 偶校验\n[计] 偶数, 偶校验"
know,nәu,37,"v. 知道, 了解, 认识, 确信"
up,ʌp,37,"a. 向上的, 起床的, 涨的\nadv. 向上, 上涨\nprep. 在...上面, 向...的较高处"
into,'intu:,37,"prep. 进入...之内, 朝..., 深入...之中, 成为...状况"
like,laik,36,"a. 相似的, 同样的\nvt. 喜欢, 愿意, 想\nvi. 喜欢, 希望\nn. 爱好, 同样的人(或物)\nprep. 象, 如同\nadv. 可能"
poor,puә. pɒ:,35,"a. 贫穷的, 贫乏的, 不幸的, 可怜的, 拙劣的, 卑鄙的\n[经] 低劣的, 不良的"
part,pɑ:t,35,"n. 部分, 局部, 零件, 要素, 等分, 职责, 角色, 部位\nvt. 分开, 分离, 断绝, 区别, 分配\nvi. 分开, 断裂, 分手\na. 部分的, 局部的\nadv. 部分地, 有些"
well,wel,35,"n. 井, 泉水, 源泉, 好\nv. 涌出\na. 健康的, 良好的, 适宜的, 恰当的\nadv. 很好地, 适当地, 好意地, 很, 完全\ninterj. 好啦"
these,ði:z,35,pron. 这些
live,liv.laiv,34,"a. 活的, 生动的, 精力充沛的, 实况转播的\nvi. 活, 生存, 居住\nvt. 过着, 度过, 经历\nadv. 实况地"
still,stil,34,"n. 蒸馏室, 寂静, 剧照\nv. 蒸馏, (使)平静, (使)静止\na. 静止的, 不动的, 静寂的, 不起泡的, 静物摄影的\nadv. 仍然, 更, 静止地\nconj. 然而, 但是"
many,'meni,34,"n. 多数, 多数人\na. 许多的\npron. 许多"
time,taim,34,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间\nvt. 测定...的时间, 记录...的时间, 计时, 定时\na. 时间的, 记时的, 定时的, 定期的, 分期的\n[计] DOS内部命令:用于显示或设定系统的时间"
long,lɒŋ,33,"a. 长的, 长久的, 冗长的, 做多头的\nvi. 渴望, 热望, 极想\nadv. 长久, 始终\nn. 长时间, 长信号, 长整型\n[计] 长, 长整型"
your,juә,33,"pron. 你的, 你们的"
two,tu:,32,"num. 二, 二个"
could,kud,31,"aux. 可以, 能"
did,did,31,do的过去式
those,ðәuz,31,pron. 那些
make,meik,31,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行\nvi. 开始, 前进, 增大, 被制造, 被处理\nn. 制造, 构造, 性情"
very,'veri,31,"a. 真正的, 恰好的, 十足的, 特有的\nadv. 非常, 完全"
old,әuld,31,"n. 以前, 往昔\na. 老的, 旧的, 古老的, 年长的, 老练的"
while,hwail,30,"n. 一会儿, (一段)时间\nconj. 当...的时候, 虽然\nvt. 消磨"
day,dei,30,"n. 天, 日子, 白天, 工作日\n[医] 日(一昼夜), 昼, 白天"
might,mait,30,"n. 力量, 权力\naux. 可能, 也许"
get,get,29,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上\nvi. 到达, 成为, 变得\nn. (网球等)救球, 生殖, 幼兽\n[计] 取得指令, 获取文件"
little,'litl,29,"n. 一点点, 少许, 一会儿, 短时间\na. 小的, 很少的, 幼小的, 琐碎的, 短暂的, 矮小的\nadv. 很少, 稍微, 完全不"
before,bi'fɒ:,28,prep. 在...之前\nconj. 在...之前\nadv. 在前
think,θiŋk,28,"vt. 想, 考虑, 想起, 想像, 打算, 认为\nvi. 思考, 料想\nn. 想法\na. 思想的"
say,sei,28,"vt. 说, 讲, 念, 说明, 指明\nvi. 说, 讲\nn. 意见, 发言权"
yet,jet,28,"adv. 还, 尚, 仍然, 已经, 然而\nconj. 然而"
every,'evri,28,"a. 每一, 所有的"
where,hwєә,28,adv. 在哪里\npron. 哪里\nn. 地点
never,'nevә,28,"adv. 从不, 决不, 不曾\n[法] 永不, 决不, 从来没有"
better,'betә,27,a. 较好的\nadv. 比较好
am,,27,
world,wә:ld,27,"n. 世界, 地球, 宇宙, 万物, 世人, 人间, 领域, 世事, 世故, 社会生活, 大量\n[法] 世界, 地球, 世人"
nor,nɒ:,26,"conj. 也不, 也没有\n[计] 或非"
great,greit,26,"a. 大的, 非常的, 主要的, 重大的, 崇高的, 伟大的\nadv. 顺利地, 得意地\nn. 全部, 大人物, 大师"
work,wә:k,26,"n. 工作, 劳动, 职业, 行为, 功, 作品, 成果, 产品, 工程\nvi. 工作, 劳动, 做, 运转, 起作用, 被加工\nvt. 使工作, 使转动, 开动, 使用, 经营, 使逐渐变得, 造成"
does,dʌz; dәz,25,v. 做；工作；有用（do的第三人称单数形式）
myself,mai'self,24,"pron. 我自己, 我亲自, 我独自"
over,'әuvә,23,"adv. 结束, 越过, 从头到尾\nprep. 在...之上, 遍于...之上, 越过\na. 上面的\nvt. 越过"
things,,23,"n. 所有物, 财产, 用具, 用品, 局面, 形势, 情况\n[法] 物"
under,'ʌndә,22,"prep. 在...之下, 低于\na. 下面的, 从属的\nadv. 在下面"
after,'ɑ:ftә,22,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来"
now,nau,22,"adv. 现在, 刚才, 目前\nn. 现在\na. 现在的\nconj. 由于"
houses,'hauziz,22,n. 住宅；房子的总称；家园；洋房 （house的复数）
true,tru:,22,"a. 真实的, 正确的, 忠诚的, 可靠的, 纯粹的, 正式的\nn. 真实, 准确\nadv. 真实地, 准确地"
must,mʌst,21,"n. 必须, 未发酵葡萄汁, 绝对必要的事物\naux. 必须"
cannot,'kænɒt,21,"aux. 无法, 不能"
merely,'miәli,21,adv. 只
then,ðen,21,"adv. 然后, 当时\nconj. 然后, 当时\nn. 那时"
food,fu:d,21,"n. 食物, 养料\n[医] 食物, 食品"
find,faind,21,"vt. 发现, 感到, 找到, 认为, 得到\nvi. 裁决\nn. 发现\n[计] 查找; DOS外部命令:在指定的文件或从键盘输入的文本行中\n寻找指定的字符串, 将符合条件的行或行数输出到标准输出设备上"
because,bi'kɒ:z,21,conj. 因为
shelter,'ʃeltә,21,"n. 庇护所, 避难所, 庇护, 隐蔽处, 掩蔽\nvt. 庇护, 保护, 隐匿\nvi. 躲避"
thus,ðʌs,20,"adv. 如此, 因此, 到如此程度\n[医] 乳香"
down,daun,20,"a. 向下的\nadv. 下, 下去, 降下\nprep. 往下, 沿着\nn. 丘陵, 软毛, 开阔的高地\n[计] 向下, 退下命令"
through,θru:,20,"adv. 穿越, 从头至尾, 到底, 因为\nprep. 经过, 穿过\na. 对穿的, 直达的, 完结的"
being,'bi:iŋ,20,"n. 存在, 性质, 生命, 人, 生物, be的现在分词"
labor,'leibә,20,"n. 劳动, 努力, 工作, 劳工, 分娩\nvi. 劳动, 努力, 苦干\nvt. 详细分析, 使厌烦"
last,lɑ:st,20,"a. 最后的, 末尾的, 最近的\nvi. 持续, 支持, 维持\nvt. 使维持, 够...用\nadv. 最后, 后来\nn. 最后, 末尾, 鞋楦头"
found,faund,19,"vt. 建立, 创立, 铸造\nfind的过去式和过去分词"
end,end,19,"n. 结束, 终点, 目标, 末端, 梢, 死亡, 残余\nv. 结束, 终结, 终止\n[计] 端; 结束"
far,fɑ:,19,"a. 远的, 久远的, 遥远的\nadv. 甚远地, 很, 到很深的程度, 到很远的距离"
clothes,klәuðz,19,n. 衣服
got,gɒt,19,get的过去式和过去分词\n[化] 谷草转氨酶; 谷氨酸草酰乙酸转氨酶
few,fju:,19,"a. 很少的, 不多的, 少数的\nn. 少数"
said,sed,19,a. 上述的\nsay的过去式和过去分词
ever,'evә,19,"adv. 曾经, 究竟, 永远"
least,li:st,18,"n. 最少, 最小, 最小限度\na. 最少的, 最小的\nadv. 最小, 最少"
take,teik,18,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费\nvi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产\nn. 拿, 取, 收成, 奏效"
himself,him'self,18,"pron. 他自己, 他亲自"
themselves,ðәm'selvz,18,"pron. 他们自己, 她们自己, 它们自己"
sun,sʌn,18,"n. 太阳, 日, 日光, 阳光\nvt. 晒\nvi. 晒太阳"
living,'liviŋ,18,"n. 生活, 生计, 生存\na. 活的, 逼真的, 现存的"
town,taun,18,"n. 城镇, 市, 镇\n[法] 城镇, 城市, 闹市"
nothing,'nʌθiŋ,18,"n. 无, 不关紧要之事, 零\nadv. 毫不, 决不\ninterj. 什么也没有, 无"
years,,18,n. 年代；岁月；年；年龄
country,'kʌntri,18,"n. 国家, 乡村, 地区, 故乡\na. 乡下的, 农村的\n[计] DOS外部命令:用于设定国家代码, 包括日期时间及货币格式"
way,wei,18,"n. 路, 路线, 路途, 方法, 道路, 情形, 规模, 习惯, 行业, 方面\nadv. 远远地, 非常"
also,'ɒ:lsәu,18,"adv. 也, 并且, 同样地"
rather,'ræðә,18,"adv. 宁可, 稍微, 相当"
earth,ә:θ,18,"n. 地球, 泥土, 世界, 尘世\nvt. 埋入土中, 赶入洞内\nvi. 躲入洞内"
us,ʌs,17,pron. 我们\n[经] 美国
too,tu:,17,"adv. 也, 非常, 太"
perhaps,pә'hæps,17,"adv. 也许, 大概"
same,seim,17,"a. 相同的, 同样的\npron. 相同的人(或事物)\nadv. 同样地"
-,,17,
lives,laivz,17,life的复数
furniture,'fәnitʃә,17,"n. 家具, 帆具"
off,ɒf,17,"a. 关着的, 不再生效的, 处于...境况的, 休假的, 空闲的\nadv. 走开, ...掉, ...下, 休息, 出发, 隔断\nprep. 离开, 脱落, 不在从事......, 在...之外\nvi. 离开, 滚开\nvt. 杀死\nn. 关闭状态\n[计] 关闭, 清屏命令"
once,wʌns,17,"adv. 一次, 曾经, 一旦\nconj. 一旦, 一经\nn. 一次\na. 从前的"
go,gou,16,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下\nvt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)\nn. 去, 尝试, 进行"
whole,hәul,16,"n. 全部, 全体, 整体, 完全之体系\na. 所有的, 完整的, 完全的, 纯粹的"
shall,ʃæl,16,aux. 将
0,ˈziːroʊ,16," zero"
something,'sʌmθiŋ,16,"pron. 某事, 某物"
indian,,16,
free,fri:,16,"a. 自由的, 享受政治权力的, 允许的, 免费的, 丰富的\nvt. 释放, 解放, 使自由\nadv. 自由地, 免费"
see,si:,16,"vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意\nvi. 看, 观看, 注意, 知道, 考虑\nn. 主教的职位"
become,bi'kʌm,16,"vi. 变成, 变得\nvt. 适合"
necessary,'nesisәri,16,a. 必要的；必然的；必需的
done,dʌn,15,"a. 完成了的, 好了的\ndo的过去分词"
nature,'neitʃә,15,"n. 自然, 大自然, 本性, 性格, 性质\n[医] 自然, 大自然; 本性, 性能"
often,'ɒ:fn,15,"adv. 时常, 常常"
within,wi'ðin,15,"n. 内部, 里头\nadv. 在内部, 在内心里\nprep. 在...之内"
let,let,15,"vt. 让, 假设, 出租, 排放, 妨碍\nvi. 出租, 被承包\nn. 出租屋, 障碍"
commonly,'kɒmәnli,15,"adv. 一般, 普通, 通常"
another,ә'nʌðә,15,"a. 另外的, 再一的, 不同的\npron. 又一个, 另一个, 类似的另一个"
savage,'sævidʒ,15,"a. 未开化的, 野蛮的, 无礼的, 残酷的, 原始的, 粗鲁的, 未开发的\nvt. 用暴力对付, 凶猛攻击\nn. 原始人, 粗鲁人"
three,θri:,15,"num. 三, 三个"
present,'preznt,15,"n. 现在, 礼品, 瞄准\na. 现在的, 出席的\nvt. 介绍, 引见, 赠送, 提出, 呈现, 上演\nvi. 举枪瞄准"
less,les,15,"n. 较少, 较小\na. 少的, 小的\nadv. 较少, 较小, 较差\n[计] 最低成本估算与调度法"
fire,'faiә,15,"n. 火, 炉火, 电炉, 火灾, 闪光体, 炮火, 热情\nvt. 点燃, 烧制, 使发光, 激动, 放枪, 解雇\nvi. 着火, 烧火, 开枪, 射击, 激动"
experience,ik'spiәriәns,14,"n. 经历, 经验, 体验\nvt. 经历, 经验, 体验"
bread,bred,14,"n. 面包, 生计, 食物\nvt. 裹以面包屑"
clothing,'klәuðiŋ,14,n. 衣服
civilized,'sivilaizd,14,"a. 文明的, 有礼的"
sometimes,'sʌmtaimz,14,"adv. 有时, 时常, 往往"
doing,'du:iŋ,14,"n. 行为, 活动"
heard,hә:d,14,hear的过去式和过去分词
come,kʌm,14,"vi. 过来, 来, 到达, 出现, 开始\ninterj. 喂"
business,'biznis,14,"n. 生意, 事情, 业务, 商业, 商行, 职责\n[经] 企业, 商业, 营业"
mean,mi:n,14,"a. 低劣的, 卑贱的, 简陋的, 吝啬的, 惭愧的, 平均的, 中间的, 普通的\nvt. 意谓, 想要, 意欲, 预定\nvi. 用意, 有意义\nn. 平均数, 中间, 中庸"
feet,fi:t,14,pl. 脚\nn. 尺
left,left,14,"a. 左边的, 左倾的, 左侧的, 左派的\nadv. 在左面\nn. 左, 左面, 左派\nleave的过去式和过去分词"
greater,'^reitә(r),14,[计] 大的
doubt,daut,14,"n. 怀疑, 疑惑\nv. 怀疑, 不信"
kind,kaind,14,"n. 种类, 性质, 方式\na. 亲切的, 仁慈的, 和蔼的"
land,lænd,14,"n. 陆地, 地面, 地界, 地产, 国土, 土地\nvi. 登陆, 登岸, 到达\nvt. 使上岸, 使登陆, 使到达\n[计] 连接盘; 焊盘"
set,set,13,"n. 日落, 同伙, 组合, 集合, 装置\nvt. 放, 安置, 放置, 设定, 使凝结, 点燃, 确定, 点缀, 使就位, 树立, 分配, 调整\nvi. 日落, 凝固, 定型, 搁住, 结果, 适合\na. 决心的, 规定的, 故意的, 持久的, 固定的, 老套的, 准备好的\n[计] 设置; DOS内部命令:改变或显示分配给环境变量的值"
days,deiz,13,"n. 一生, 时期\nadv. 每天, 在白天"
always,'ɒ:lweiz,13,"adv. 总是, 始终"
year,jiә,13,"n. 年, 年度, 年龄\n[经] 年度"
farmer,'fɑ:mә,13,"n. 农夫, 农场主\n[法] 农民, 农场主, 承包者"
till,til,13,"prep. 直到, 在...以前, 迄\nconj. 直到...为止\nvt. 耕种\nn. 放钱的抽屉, 备用现金, 冰碛"
1,,13,num. one
cut,kʌt,13,"n. 切口, 割伤, 降低, 切, 割, 砍, 削, 伤口, 削减, 缩短, 删节, 通路\na. 经切割的, 缩减的\nvt. 切, 割, 减少, 刺痛, 开辟, 雕刻, 删节, 缩短, 停止, 排斥, 切断, 关, 显出\nvi. 切, 割, 砍, 刺痛, 相交, 抄近路, 剪辑\n[计] 剪切"
best,best,13,a. 最好的\nadv. 最好地\nn. 最好的人
look,luk,13,"n. 一看, 神色, 样子, 面容\nvi. 看, 注意, 朝着, 显得\nvt. 打量, 看上去与...一样, 以眼色(或脸色)显示, 期待"
cost,kɒst,13,"n. 代价, 价值, 费用\nvi. 花费\nvt. 使失去, 值, 使花费"
called,,13,a. 被呼叫的
fuel,'fjuәl,13,"n. 燃料, 木炭\nvt. 加燃料, 供燃料\nvi. 得到燃料"
says,sez,13,v. 说（第三人称单数）
keep,ki:p,13,"n. 生计, 维持, 保持\nvt. 保持, 保存, 遵守, 看守, 整理, 维持, 履行, 经营, 拘留, 记帐\nvi. 保持, 继续不断"
having,'hæviŋ,13,"n. 财产, 所有物"
night,nait,12,"n. 夜, 夜晚, 晚上, 黑暗, 夜晚的工作\n[法] 夜, 黑夜, 黑暗"
young,jʌŋ,12,"a. 年轻的, 无经验的, 朝气蓬勃的\nn. 青年们, 幼小动物, 崽"
corn,kɒ:n,12,"n. 玉蜀黍, 谷类, 谷粒, 鸡眼\nvt. 使成颗粒, 腌"
2,,12," two"
however,hau'evә,12,"adv. 然而, 无论如何, 究竟怎样\nconj. 然而, 可是"
people,'pi:pl,12,"n. 人, 人民, 民族, 平民\nvt. 使住满人, 居住于"
enough,i'nʌf,12,"n. 充足, 够, 很多\na. 充足的, 足够\nadv. 足够\ninterj. 够了"
farm,fɑ:m,12,"n. 农场, 农田\nvt. 耕种\nvi. 种田"
lay,lei,12,"vt. 放置, 产, 铺设, 布置, 提出, 平息\nvi. 下蛋, 打赌\nn. 位置, 层, 隐藏处\na. 世俗的, 外行的\nlie的过去式"
warm,wɒ:m,12,"a. 暖和的, 暖的, 温暖的, 热烈的, 兴奋的, 激烈的, 多情的, 色情的\nvt. 使温暖, 弄热, 使兴奋, 使充满仇恨\nvi. 变暖和, 变温暖, 取暖, 激动, 同情, 爱好\nn. 暖, 保暖物"
whether,'hweðә,12,"conj. 是否, 不论\npron. 两个中的哪一个"
means,mi:nz,12,"n. 方法, 手段, 工具, 财产, 收入\n[经] 方法, 手段, 工具; 意谓"
place,pleis,11,"n. 地方, 地点, 位置, 住所, 座位, 地位, 处境, 特权, 空间, 余地, 职务, 位\nvt. 放置, 寄予, 认出, 评定, 任命\nvi. 名次列前"
she,ʃi:,11,pron. 她
simple,'simpl,11,"a. 简单的, 普通的, 朴素的, 单纯的, 绝对的, 初级的, 原始的, 迟钝的\nn. 出身低微者, 傻子"
sense,sens,11,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智\nvt. 感觉, 觉察, 检测\n[计] 阅读; 检测"
small,smɒ:l,11,"a. 小的, 少的, 小型的, 低微的, 小气的, 细微的\nadv. 些微地\nn. 狭小部分"
none,nʌn,11,"adv. 一点也不, 毫不\npron. 没有人, 无一物, 并无一个\na. 没有的"
buy,bai,11,"vt. 买, 获得\nvi. 买\nn. 购买, 买得的东西"
pay,pei,11,"n. 薪资, 付款, 补偿\nvt. 支付, 付清, 补偿, 偿还, 对...有利, 为...涂防水物\nvi. 付款, 付出代价, 偿还, 得到报应, 获得好处"
build,bild,11,"v. 建立, 建筑\nn. 构造, 体格"
ground,graund,11,"n. 土地, 战场, 场地, 地面, 范围\na. 土地的, 地面上的\nvt. 放在地上, 使搁浅, 打基础, 给...以训练\nvi. 搁浅, 落地, 根据, 基于\na. 磨过的\ngrind的过去式和过去分词"
want,wɒnt,11,"n. 需要的东西, 缺乏, 贫困, 需要\nvt. 要, 希望, 应该, 缺少\nvi. 生活困苦, 需要, 缺少"
race,reis,11,"n. 种族, 人种, 赛跑, 比赛, 急流, 人类, 同道, 姜根\nvi. 赛跑, 竞赛, 疾走\nvt. 与...赛跑, 使疾走, 使猛转\n[计] 竞争; 追赶; 欧州高级通信研究开发计划"
trade,treid,11,"n. 贸易, 商业, 交易, 生意, 职业, 顾客, 信风\nvi. 进行交易, 做买卖, 经商, 对换, 购物\nvt. 用...进行交换"
put,put,11,"vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予\nvi. 出发, 航行, 发芽\nn. 掷, 股票出售权, 笨蛋\na. 固定不动的\n[计] 发送文件"
condition,kәn'diʃәn,11,"n. 情况, 条件\nvt. 使健康, 以...为条件, 决定, 使适应\n[计] 条件"
season,'si:zn,11,"n. 季节, 时节, 当令期, 时期\nvt. 给...调味, 使成熟, 使老练, 缓和\nvi. 变干燥"
anything,'eniθiŋ,11,pron. 任何事
mankind,mæn'kaind,11,"n. 人类, 男性"
built,bilt,10,build的过去式和过去分词
upon,ә'pɒn,10,"prep. 在...之上, 迫近, 紧接着"
seen,si:n,10,see的过去分词
winter,'wintә,10,"n. 冬季, 萧条期, 衰退期\na. 冬天的\nvt. 使度过冬天\nvi. 过冬"
dollars,,10,n. 美元（dollar的复数）
$,,10,
civilization,si.vilai'zeiʃәn,10,"n. 文明, 教化\n[法] 文明, 文化, 文明国家的总称"
went,went,10,go的过去式
cellar,'selә,10,"n. 地窖, 地下室, 藏酒"
again,ә'gein,10,"adv. 再一次, 又, 到原处"
england,,10,
why,hwai,10,"adv. 为什么\nn. 原因, 理由"
money,'mʌni,10,"n. 金钱, 一笔款, 财富, 货币, 金额\n[经] 货币, 金钱, 财产"
behind,bi'haind,10,adv. 在后地\nprep. 在...背后
whom,hu:m,10,pron. 谁
lost,lɒst,10,"a. 失去的, 遗失的, 迷惑的\nlose的过去式和过去分词"
love,lʌv,10,"n. 爱, 恋爱, 爱情, 爱好, 性爱\nvt. 爱, 爱好, 爱慕\nvi. 爱"
rest,rest,10,"n. 休息, 睡眠, 安息, 稍息, 静止, 支架, 休息处, 其余者, 剩余部分\nvi. 休息, 睡, 长眠, 安心, 静止, 停止, 安置, 依赖\nvt. 使休息, 使支撑, 把...寄托于"
give,giv,10,"n. 弹性, 适应性\nvt. 给, 授予, 供给, 产生, 发表, 付出, 献出, 让出\nvi. 捐赠, 支持不住, 让步"
human,'hju:mәn,10,"n. 人, 人类\na. 人类的, 似人类的, 人性的, 有同情心的"
both,bәuθ,10,a. 两者的\nadv. 两者都\npron. 两者
spend,spend,10,"vt. 花费, 浪费, 度过, 消耗, 消磨\nvi. 花费, 用尽"
pond,pɒnd,10,n. 池塘\nv. 筑成池塘
heat,hi:t,10,"n. 热, 热度, 体温, 高潮\nvi. 加热, 激昂, 加剧\nvt. 把...加热, 使激动"
side,said,10,"n. 旁边, 侧, 方面, 胁, 侧边, 血统\na. 旁的, 侧的, 次要的\nvt. 同意, 支持\nvi. 支持, 赞助"
almost,'ɒ:lmәust,10,"adv. 几乎, 差不多"
speak,spi:k,10,"vi. 说, 说话, 演说, 发言\nvt. 说, 讲, 说出"
else,els,10,"a. 别的, 其他的\nadv. 另外, 否则, 不然"
heaven,'hevn,10,"n. 天堂, 上帝, 天空"
taken,'teikәn,10,take的过去分词
soon,su:n,10,"adv. 不久, 早, 快, 宁可"
hand,hænd,10,"n. 手, 爪, 指针, 掌握, 协助, 人手, 手艺, 手迹, 支配, 插手\nvt. 交给, 支持, 搀扶"
boards,,10,"n. 木板, 板子；纸板（board复数形式）"
her,hә:,9,"pron. 她的, 她"
tried,traid,9,"a. 试验过的, 可靠的\n[法] 已经审讯的, 已经查验的"
roof,ru:f,9,"n. 屋顶, 室顶\nvt. 给...盖屋顶, 遮蔽"
neighbor,'neibә,9,"n. 邻居\nvt. 邻接\nvi. 毗邻而居, 友好\na. 邻近的"
necessity,ni'sesәti,9,"n. 需要, 必需品, 必然\n[法] 必要性, 必然性, 必要"
concord,'kɒŋkɒ:d,9,"n. 一致, 和睦, 协定"
common,'kɒmәn,9,"a. 通常的, 共同的, 通俗的, 公共的\n[计] 公用块"
green,gri:n,9,"n. 绿色, 绿色颜料\na. 绿色的, 未成熟的, 新鲜的, 青春的, 无经验的, 脸色发青的"
perchance,pә'tʃɑ:ns,9,"adv. 偶然, 恐怕, 间或"
simply,'simpli,9,"adv. 简单地, 只是, 简直, 简朴地, 坦白地"
large,lɑ:dʒ,9,"a. 大的, 大量的, 宽大的, 广博的\nadv. 大大地, 夸大地"
several,'sevәrәl,9,"a. 几个的, 一些的, 各自的\npron. 几个"
